640; 166
640; 226
593; 270
514; 312
432; 347
371; 363
322; 370
284; 361
260; 343
258; 329
271; 320
299; 322
331; 328
344; 328
353; 301
365; 259
360; 215
350; 167
348; 121
343; 96
340; 100
350; 126
355; 160
368; 208
386; 262
405; 332
428; 385
436; 435
436; 508
423; 576
418; 630
415; 640
410; 640
408; 640
404; 640
397; 640
386; 640
376; 640
383; 640
393; 640
396; 640
411; 640
421; 636
435; 608
453; 585
468; 574
488; 549
496; 538
505; 526
512; 515
504; 523
503; 525
498; 536
498; 540
498; 544
476; 542
